19,37,18
37,19,20
29,35,30
35,29,42
1,0,36
67,62,66
62,67,61
2,1,41
63,53,65
53,63,52
3,2,31
56,8,57
8,56,9
4,3,31
48,4,31
4,48,5
31,2,29
6,5,59
46,54,35
54,46,14
7,6,58
21,27,39
27,21,22
8,7,57
10,9,55
47,44,46
44,47,43
11,10,54
34,30,35
30,34,33
12,11,54
40,37,38
37,40,41
13,12,54
40,29,2
29,40,28
14,13,54
18,37,36
15,14,45
36,17,18
17,36,0
16,15,45
46,44,45
23,20,19
20,23,22
18,24,19
22,23,43
28,42,29
42,28,27
40,2,41
20,21,38
21,20,22
42,27,22
42,22,43
14,46,45
25,44,24
44,25,45
23,19,24
23,24,43
16,45,26
25,26,45
28,40,39
27,28,39
31,29,30
10,55,54
48,31,49
51,33,52
33,51,50
59,67,58
67,59,60
31,30,32
6,59,58
31,32,49
32,30,33
34,52,33
52,34,35
32,33,50
35,54,53
40,38,39
1,36,41
36,37,41
37,20,38
38,21,39
35,42,47
42,43,47
43,24,44
46,35,47
5,48,59
66,56,57
56,66,65
48,49,60
49,32,50
49,50,61
57,7,58
50,51,61
63,66,62
66,63,65
51,52,63
52,35,53
54,55,64
53,54,64
53,55,65
55,53,64
55,9,56
51,63,62
55,56,65
49,61,60
57,58,66
59,48,60
60,61,67
61,51,62
66,58,67
