86,192
88,233
95,275
106,315
124,352
150,387
182,416
219,438
262,444
303,436
337,409
364,378
387,343
402,305
409,267
412,227
410,189
113,140
133,118
163,113
194,119
223,133
282,135
309,121
339,116
369,121
387,142
253,173
254,204
255,233
257,263
220,285
238,288
256,292
274,288
290,284
148,173
166,165
187,166
206,180
186,182
165,182
298,181
318,167
340,167
356,176
340,183
319,184
197,342
219,326
242,315
257,319
273,314
295,323
316,337
297,357
277,367
260,369
243,368
220,360
208,342
242,337
258,338
274,336
306,337
275,336
259,339
243,338
