117,176
119,218
129,259
142,299
156,339
178,374
202,405
230,431
267,438
308,430
350,407
388,378
419,343
438,301
445,255
448,209
447,161
121,138
138,126
162,127
185,135
208,146
269,146
296,132
325,123
358,121
391,129
239,182
238,217
236,252
235,287
215,297
227,305
242,310
259,303
275,296
149,174
166,161
189,164
209,185
186,188
163,185
295,185
313,164
338,162
360,174
342,185
318,187
202,343
216,332
234,327
250,333
268,326
294,329
321,336
297,363
273,377
253,380
235,378
217,366
212,345
234,345
251,347
269,344
310,339
271,352
252,355
236,352
