95,192
97,233
104,274
111,318
123,359
145,394
178,421
216,442
259,450
303,442
343,425
378,400
400,365
410,323
414,276
419,232
422,188
118,146
134,124
160,115
188,116
213,128
281,126
310,112
341,111
371,122
391,146
248,167
249,199
249,230
249,261
215,276
232,283
251,289
270,283
286,276
149,174
167,164
187,166
206,180
185,180
166,179
295,182
316,167
337,166
354,176
337,182
317,183
175,321
201,312
228,308
251,312
275,307
305,311
338,318
309,347
279,360
254,362
230,360
202,349
185,324
228,322
251,323
276,321
328,320
278,342
253,345
229,343
