121,183
121,218
125,253
136,289
152,326
175,358
198,388
221,424
255,439
299,437
348,418
396,393
439,360
467,317
475,264
477,211
478,159
120,143
132,127
153,126
176,131
197,142
263,139
296,125
332,120
367,125
400,140
230,176
226,209
222,243
218,276
201,281
214,291
231,298
252,289
272,282
149,175
165,164
187,165
205,182
184,185
163,183
292,182
312,165
336,163
358,175
338,183
314,184
191,313
206,311
224,312
243,316
266,312
302,311
342,313
308,348
272,363
248,365
227,360
209,344
203,318
224,320
244,323
267,321
333,316
270,345
246,346
226,341
